state,district,flood_date,flood_cause,river_basin,latitude,longitude,source
Pahang,Rompin,2026-07-24,Air Sungai Melimpah,,2.919460,103.459430,JPS/DID
Pahang,Maran,2026-07-22,"Longkang Tersumbat, Saliran Dalaman",,3.600550,102.673180,JPS/DID
Sarawak,Selangau,2026-07-21,Air Sungai Melimpah,Batang Mukah (Sekolah Kebangsaan Sungai Sepiring),2.498055,112.420495,JPS/DID
Negeri Sembilan,Tampin,2026-07-05,Saliran Dalaman,Sungai Muar (MUARTP0087 - Skim Londah); Sungai Muar (Taman Halacara Baru Londah); Sungai Muar (Desa E-kasih Londah); Sungai Muar (MUARTP0088 - Kg. Bangkahulu),2.547030,102.416770,JPS/DID
Negeri Sembilan,Seremban,2026-07-05,Air Sungai Melimpah,Sungai Langat (LABUTP0003 - Kg. Kubang),2.755985,101.908985,JPS/DID
Negeri Sembilan,Tampin,2026-07-05,Air Sungai Melimpah,Sungai Muar (MUARTP0090 - Kg. Seri Gemas),2.547030,102.416770,JPS/DID
Pahang,Bentong,2026-07-04,"Lain-lain, Longkang Tersumbat, Saliran Dalaman",Sungai Pahang (TRNGTP0110 - Kg. Semerting),3.416345,102.050275,JPS/DID
Kedah,Yan,2026-06-29,Air Sungai Melimpah,,5.847800,100.370420,JPS/DID
Pahang,Lipis,2026-06-24,"Air Sungai Melimpah, Hujan Lebat / Berterusan, Lain-lain",Sungai Pahang (CEKATP0009 - Kg. Limau Purut),4.342810,101.879390,JPS/DID
Kedah,Kuala Muda,2026-06-23,Air Sungai Melimpah,Sungai Muda (Kg. Keduak),5.715575,100.501505,JPS/DID
WP Labuan,Labuan,2026-06-20,"Hujan Lebat / Berterusan, Saliran Dalaman",,5.289335,115.225540,JPS/DID
Pahang,Temerloh,2026-06-19,"Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman",Sungai Pahang (PHNGTP0253 - Kg. Bukit Tingkat),3.606815,102.259125,JPS/DID
Pulau Pinang,Seberang Perai Tengah,2026-06-19,"Air Sungai Melimpah, Saliran Dalaman",Sungai Juru (KLMTP00063 - Taman Guar Perahu); Sungai Juru (PRWTP0001 - Kg. Tanah Liat),5.364500,100.449120,JPS/DID
Kedah,Kulim,2026-06-19,"Air Sungai Melimpah, Longkang Tersumbat, Saliran Dalaman",Sungai Perai (JRKTP00026 - Kg. Sungai Seluang Bawah),5.403050,100.696095,JPS/DID
Sabah,Penampang,2026-06-18,"Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman",Sungai Monyog (MYOGTP0025 - Kg. Kibabaig); Sungai Monyog (MYOGTP0030 - Kg. Mahandoi); Sungai Monyog (MYOGTP0005 - Kg. Tanaki); Sungai Monyog (Jalan Panglima Banting); Sungai Monyog (Taman Graceland); Sungai Monyog (Beverly Bundusan),5.839580,116.195620,JPS/DID
Sarawak,Sibu,2026-06-17,Air Sungai Melimpah,Batang Rajang (Jalan Menuju Kampung Melayu Kedada/TR Maltalu/TR G),2.292280,111.866555,JPS/DID
Sarawak,Miri,2026-06-16,Air Sungai Melimpah,"Batang Baram (TNJRTP0024 - Rh Takang); Batang Baram (TNJRTP0020 - SK Pengarah Entri); Batang Baram (Rh Rendah,Kampung Matek,Ulu Teru)",3.787580,114.729625,JPS/DID
Sarawak,Miri,2026-06-15,Air Sungai Melimpah,"Batang Baram (TNJRTP0018 - Long Jegan); Batang Baram (Long Tisam); Batang Baram (TNJRTP0010 - Long Loyang, Tinjar)",3.787580,114.729625,JPS/DID
Sarawak,Miri,2026-06-15,Air Sungai Melimpah,Batang Baram (TUTOTP0005 - Long Bemang); Batang Baram (BRAMTP0008 - Klinik Long Bemang),3.787580,114.729625,JPS/DID
